idx,state,label_idx,sample_idx,neuron_idx,n_labeled,sum_spikes,label_match,label_value,spike_value
0,1,0,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0
2,1,0,0,2,0,0,0,0,0
3,1,0,0,3,0,0,0,0,0
4,1,0,0,4,0,0,0,0,0
5,1,0,0,5,0,0,0,0,0
6,1,0,0,6,0,0,0,0,0
7,1,0,0,7,0,0,0,0,0
8,1,0,0,8,0,0,0,0,0
9,1,0,0,9,0,0,0,0,0
10,1,0,0,10,0,0,0,0,0
11,1,0,0,11,0,0,0,0,0
12,1,0,0,12,0,0,0,0,0
13,1,0,0,13,0,0,0,0,1
14,1,0,0,14,0,0,0,0,0
15,1,0,0,15,0,0,0,0,0
16,1,0,0,16,0,0,0,0,0
17,1,0,0,17,0,0,0,0,0
18,1,0,0,18,0,0,0,0,0
19,1,0,0,19,0,0,0,0,0
20,1,0,0,20,0,0,0,0,0
21,1,0,0,21,0,0,0,0,0
22,1,0,0,22,0,0,0,0,0
23,1,0,0,23,0,0,0,0,0
24,1,0,0,24,0,0,0,0,0
25,1,0,0,25,0,0,0,0,0
26,1,0,0,26,0,0,0,0,1
27,1,0,0,27,0,0,0,0,0
28,1,0,0,28,0,0,0,0,0
29,1,0,0,29,0,0,0,0,0
30,1,0,0,30,0,0,0,0,0
31,1,0,0,31,0,0,0,0,0
32,1,0,0,32,0,0,0,0,0
33,1,0,0,33,0,0,0,0,0
34,1,0,0,34,0,0,0,0,0
35,1,0,0,35,0,0,0,0,0
36,1,0,0,36,0,0,0,0,0
37,1,0,0,37,0,0,0,0,0
38,1,0,0,38,0,0,0,0,0
39,1,0,0,39,0,0,0,0,1
40,1,0,0,40,0,0,0,0,0
41,1,0,0,41,0,0,0,0,0
42,1,0,0,42,0,0,0,0,0
43,1,0,0,43,0,0,0,0,0
44,1,0,0,44,0,0,0,0,0
45,1,0,0,45,0,0,0,0,0
46,1,0,0,46,0,0,0,0,0
47,1,0,0,47,0,0,0,0,0
48,1,0,0,48,0,0,0,0,0
49,1,0,0,49,0,0,0,0,0
50,1,0,0,50,0,0,0,0,0
51,1,0,0,51,0,0,0,0,0
52,1,0,0,52,0,0,0,0,1
53,1,0,0,53,0,0,0,0,0
54,1,0,0,54,0,0,0,0,0
55,1,0,0,55,0,0,0,0,0
56,1,0,0,56,0,0,0,0,0
57,1,0,0,57,0,0,0,0,0
58,1,0,0,58,0,0,0,0,0
59,1,0,0,59,0,0,0,0,0
60,1,0,0,60,0,0,0,0,0
61,1,0,0,61,0,0,0,0,0
62,1,0,0,62,0,0,0,0,0
63,1,0,0,63,0,0,0,0,0
64,1,0,0,64,0,0,0,0,0
65,1,0,0,65,0,0,0,0,0
66,1,0,0,66,0,0,0,0,0
67,1,0,0,67,0,0,0,0,0
68,1,0,0,68,0,0,0,0,0
69,1,0,0,69,0,0,0,0,0
70,1,0,0,70,0,0,0,0,0
71,1,0,0,71,0,0,0,0,0
72,1,0,0,72,0,0,0,0,0
73,1,0,0,73,0,0,0,0,0
74,1,0,0,74,0,0,0,0,0
75,1,0,0,75,0,0,0,0,0
76,1,0,0,76,0,0,0,0,0
77,1,0,0,77,0,0,0,0,0
78,1,0,0,78,0,0,0,0,0
79,1,0,0,79,0,0,0,0,0
80,1,0,0,80,0,0,0,0,0
81,1,0,0,81,0,0,0,0,0
82,1,0,0,82,0,0,0,0,0
83,1,0,0,83,0,0,0,0,0
84,1,0,0,84,0,0,0,0,0
85,1,0,0,85,0,0,0,0,0
86,1,0,0,86,0,0,0,0,0
87,1,0,0,87,0,0,0,0,0
88,1,0,0,88,0,0,0,0,0
89,1,0,0,89,0,0,0,0,0
90,1,0,0,90,0,0,0,0,0
91,1,0,0,91,0,0,0,0,0
92,1,0,0,92,0,0,0,0,0
93,1,0,0,93,0,0,0,0,0
94,1,0,0,94,0,0,0,0,0
95,1,0,0,95,0,0,0,0,0
96,1,0,0,96,0,0,0,0,0
97,1,0,0,97,0,0,0,0,0
98,1,0,0,98,0,0,0,0,0
99,1,0,0,99,0,0,0,0,0
100,2,0,0,0,0,0,0,0,1
101,3,0,0,0,0,0,1,0,1
102,3,0,0,1,0,0,1,0,0
103,3,0,0,2,0,0,1,0,0
104,3,0,0,3,0,0,1,0,0
105,3,0,0,4,0,0,1,0,0
106,3,0,0,5,0,0,1,0,0
107,3,0,0,6,0,0,1,0,0
108,3,0,0,7,0,0,1,0,0
109,3,0,0,8,0,0,1,0,0
110,3,0,0,9,0,0,1,0,0
111,3,0,0,10,0,0,1,0,0
112,3,0,0,11,0,0,1,0,0
113,3,0,0,12,0,0,1,0,0
114,3,0,0,13,0,0,1,0,1
115,3,0,0,14,0,0,1,0,0
116,3,0,0,15,0,0,1,0,0
117,3,0,0,16,0,0,1,0,0
118,3,0,0,17,0,0,1,0,0
119,3,0,0,18,0,0,1,0,0
120,3,0,0,19,0,0,1,0,0
121,3,0,0,20,0,0,1,0,0
122,3,0,0,21,0,0,1,0,0
123,3,0,0,22,0,0,1,0,0
124,3,0,0,23,0,0,1,0,0
125,3,0,0,24,0,0,1,0,0
126,3,0,0,25,0,0,1,0,0
127,3,0,0,26,0,0,1,0,1
128,3,0,0,27,0,0,1,0,0
129,3,0,0,28,0,0,1,0,0
130,3,0,0,29,0,0,1,0,0
131,3,0,0,30,0,0,1,0,0
132,3,0,0,31,0,0,1,0,0
133,3,0,0,32,0,0,1,0,0
134,3,0,0,33,0,0,1,0,0
135,3,0,0,34,0,0,1,0,0
136,3,0,0,35,0,0,1,0,0
137,3,0,0,36,0,0,1,0,0
138,3,0,0,37,0,0,1,0,0
139,3,0,0,38,0,0,1,0,0
140,3,0,0,39,0,0,1,0,1
141,3,0,0,40,0,0,1,0,0
142,3,0,0,41,0,0,1,0,0
143,3,0,0,42,0,0,1,0,0
